Codigo,Nombre
1,SET DADOS BICOLOR
2,SET DADOS MARMOLEADO
3,SET DADOS ROL VICTORIANO
4,SET DADOS ROL NORMAL
1000,Carta Suelta
1200,Carta Suelta 200
1300,Carta Suelta 300
1500,Carta Suelta 500
70908104586,MAREAALTA
72473627991,LLAMAKADABRA
73854024409,BICYCLEMETALLUXERED
73854024416,BICYCLEMATELLUXEBLUE
73854025413,BICYCLEARCHWONDERS
74427156008,PROTECTOR ECLIPSE GLOSS BLANCO
74427156121,PROTECTOR ECLIPSE MATTE BLANCO
74427813741,ULTRAPRO4POCKETALBUM
74427827137,PERFECTFITULTRAPRO
195166103112,MTGKAMIGAWATHEMEBOOSTER
195166121826,STREETS OF NEW CAPENNA THEME B
195166248899,MURDERS AT KARLOV MANOR PLAY B
195166248905,KARLOV MANOR BOOSTER BOX
195166252384,OUTLAWSBOOSTER
195166253596,MODERN HORIZONS 3 BOOSTER
195166258591,DUSKMOURN PLAY BOOSTER
195166258607,DUSKMOURN BOOSTER BOX
195166258645,DUSKMOURN COLLECTOR BOOSTER
195166262086,MTGFOUNDATIONSBOX
195166269955,Sobre Innistrad Remastered
195166270913,FFPLAYBOOSTER
195166270920,FFPLAYBOOSTERDISPLAY
195166270968,FFCOLLECTORBOOSTER
195166270975,FFCOLLECTORBOOSTERDISPLAY
195166270999,FFCOMMANDERDECK
195166271019,FFCOLLECTORCOMMANDERDECK
195166271057,FFBUNDLE
195166271170,FFSTARTERKIT
195166278629,AETHERDRIFTBOOSTER
195166278636,AETHERDRIFTBOOSTERBOX
195166278742,AETHERDRIFTCOLLECTORBOOSTER
195166278834,Aetherdrift Bundle
195166279145,AETHERDRIFTCOMMANDER
195166281131,TARKIRPLAYBOOSTER
195166281148,TARKIR PLAY BOOSTER DISPLAY
195166281162,TARKIRCOLLECTORBOOSTER
195166281179,TARKIRCOLLECTORBOX
195166281193,TARKIR DRAGONSTORM COMMANDER
195166281513,TARKIRBUNDLE
196214106055,PRISMATICPOUCHEEVEEESP
196214107113,STACK2025ESP
196214108417,BUNDLEJOURNEY
196214108554,ETBJOURNEY
196214108745,KORAIDONSLASHINGLEGENDSTIN
196214108936,KORAIDONSPECIALTIN
196214108974,DRAGAPULTEXDECKESP
196214109179,COLECCIONCHARIZARD
196214109223,CHARIZARDSPECOLL
196214109247,POKCYNTHIAGARCHOMPEXCOLL
196214109315,IONOBELLIBOLTPREMIUM
196214109438,CAJAMEWTWOROCKET
196214110441,BOOSTERRIVALESPREDESTINADOS
196214111332,BLISTERDESTINEDRIVALS
196214111387,BUNDLEDESTINEDRIVALS
196214111523,ETBDESTINEDRIVALS
196214112551,PRISMATICPOUCHEEVEEING
196214112568,POKEMONPRISMATICSUPERPREMCOLL
196214112599,POKBWVICTINICOLLECTIONENG
196214112735,POKBWVICTINICOLLECTIONESP
196214113381,POKLLAMABLANCABOOSTERBUNDLEESP
196214113619,ETBWHITEFLARE
196214113664,ETBBLACKBOLT
196214114043,POSTERNEGROBLANCO
196214114173,MINITINUNOVA
196214114272,MINILATAUNOVA
196214116122,STACK2025ING
196214118355,CARPETEBLANCALLAMA
196214118362,CARPETENEGREBOLT
196214118379,CEELLAMABLANCA
196214118386,CEEFULGORNEGRO
196214118492,POKFULGORNEGROBOOSTERBUNDLEESP
196214118683,POKLLAMABLANCATECHSTICKERESP
196214119031,BOOSTERJOURNEY
196214119154,POKBLACKBOLTTECHSTICKERENG
196214123175,BOOSTERDESTINEDRIVALS
196214124073,POKTEAMROCKETMEWTWOBOXENG
196214124233,BLISTER JOURNEY TOGETHER
196214129214,POSTERBLACKWHITE2
196214129221,POKWHITEFLAREBINDERCOLL
196214129238,POKBLACKBOLTBINDERCOLL2
196214129283,POKWHITEFLAREBOOSTERBUNDLEENG
196214129290,POKBLACKBOLTBOOSTERBUNDLEENG
602561991072,NOTALONE
614143231186,CYTOSIS
614143618215,TOMA6
614143618222,SABOTEUR
614143618246,QUIENFUE
630456203474,CARECACA
634482714218,Heroclix Captian America
644650989577,24H
644650989966,COUPX
652733807281,BAJOLALUNAAZUL
652733920003,ASESINATOENLAMANSIONCTHULU
653981824648,MALALECHECONPLATANO
653981824662,MALALECHEORIGINAL
658325394405,MOJATEELPOTITO
659525155346,DONDELASPAPASQUEMAN
709081046456,QWINTO
709081046494,DOGGYSTYLE
709081046500,TAKENOKO
709081046517,DRAFTOSAURUSEXPSHOWAEREO
709081046524,DRAFTOSAURUSEXPMARINA
709081046548,PISTASCRUZADAS
709081046609,PROTECTORMINIEURO
709081046616,PROTECTORSTANDARDAMERICANOF
709081046623,PROTECTOR EURO FRACTAL
709081046630,PROTECTORSTANDARDFRACTAL
709081046647,PROTECTORES MAGNUM GOLD
709081046661,SILVER&GOLD
712038540518,TERRAFORMINGMARS
712038540570,AFTERTHEVIRUS
724373627588,ROBADISPARAWHISKY
724373627601,FERIADELASPULGAS
724373627687,CROPCIRCLES
724373627717,LINKO
724373627724,ARTEMODERNO
724373627762,MADA
724373627779,DRAGONESDELMAR
724373627793,TOMA6ANIVERSARIO30
724373627809,WIZARD
724373627816,TOMA11
724373627847,NEXTSTATIONLONDON
724373627854,MULTIVERSEMONEY
724373627861,NEBULA
724373627878,THEMINDSOULMATES
724373627885,PELUSAS
724373627892,RANKINGTOP
724373627977,BANDIDA
724373627984,ODIN
724373628004,NEXTSTATIONTOKYO
724373628011,NOPUEDOPARAR
724373628035,TULIO LULOLANAPATANA
724373628042,NEXTSTATIONPARIS
731199030690,BLOCKITS
731299197453,MALALECHECONMARIHUANA
731299197491,JUICIOFINAL
731299197507,CUENTERO
731299197514,ECOLADRILLO
745853215538,TARTAPIES
745853215552,LLAMAGEDON
745853215569,DADOSPATOMAR
745853627133,MISIONCHUNGUNGO
745853627140,SIEMPREDEWN
745853627171,VILLAPANDA
781159421242,ILLUSION
781159750304,DRAFTOSAURUS
781718780513,LLAMA
781718780520,SABOTEUR2
781718780544,LOSODIOSOS7
788115803708,ANDAALAVAR
793588575205,POLYNESIA
793969563920,SALSACIAVSCONSERVIA
799192150906,DONDELASPAPASAPAPALIPSIS
799192150913,GUACAMOLE
799192150920,RINRINRAJA
799192150982,BARAJASPL
803979090719,MATANGA
810059781122,SOBRES SUELTOS OP6
810059785069,SOBRES SUELTOS OP7
810083040172,THROWTHROBURRITO
810083040356,EXPLODINGKITTENS
810083040530,EXPLODINGKITTENSNSFW
810083040738,EXPLODINGKITTENSPARTY
810083040882,IMPLODINGKITTENS
810083041070,EXPLODINGSTREAKING
810083041223,BARKINGKITTENS
810083042053,EXPLODINGKITTENSRECETAS
810083042381,Puzzle1000PiezasPugWithaPearl
810083042565,THROWTHROWAVOCADO
810083043708,EXPLODINGKITTENSZOMBIE
810083043838,HANDTOHANDWOMBAT
810083043968,HAPPYSALMON
810083044439,BLOCKBURRITO
810083044699,EXPLODINGKITTENSBIENCONTRAMAL
810083044828,BIBLIOTECARIOSGRITONES
810083046037,POWERHUNGRYPETS
810083047300,ZOMBIEBURRITO
810083047454,EXPLODINGKITTENSCATCHCORE
